serhis_hbdist,hislg_hbdist_toreflig,hisacid_hbdist,oxh1_hbdist_toreflig,oxh2_hbdist_toreflig,serhis_angleA,serhis_angleB,hislg_angleB_toreflig,hislg_angleA_toreflig,ser_chi,ser_chi_ref,serhis_dihedralB,hislg_dihedralA_toreflig,ser_sc_rmsd_toref,his_sc_rmsd_toref,acid_sc_rmsd_toref,serOG_unc,hisNE2_unc,hisND1_unc,acidOXY_unc,oxh1DON_unc,oxh2DON_unc,is_hbond_ser-his,is_hbond_his-lgref,is_hbond_oxh1-oxref,is_hbond_oxh2-oxref,is_hbond_his-asp,fape,lddt,rmsd,kabsch,prmsd,plddt,plddt_pde,oxh1_angleA_toreflig,oxh1_angleB_toreflig,oxh1_dihedralB_toreflig,oxh2_angleA_toreflig,oxh2_angleB_toreflig,oxh2_dihedralB_toreflig,hisacid_angleA,hisacid_angleB,hisacid_dihedralA,hisacid_dihedralB,pdb,ref,step,csv,i,label
3.075,2.614,2.794,2.766,2.389,110.883,87.662,102.988,136.724,-67.763,-63.828,-169.757,-163.236,0.07,1.482,0.203,0.84,0.61,0.74,0.44,0.08,0.99,True,True,True,True,True,0.7993409633636475,0.9802156090736388,0.4187715649604797,0.4161915183067322,0.8145501613616943,0.9806783199310304,0.9543901681900024,112.025,97.244,137.228,125.919,136.891,23.256,107.878,115.61,-163.304,-146.411,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,10,super_af2_mu2
3.054,2.663,2.852,2.779,2.402,111.98,88.552,102.401,137.894,-68.403,-63.828,-169.177,-162.319,0.092,1.486,0.189,0.87,0.59,0.71,0.45,0.08,0.97,True,True,True,True,True,0.8067372441291809,0.9803443551063538,0.4348918199539184,0.4291915595531463,0.8005448579788208,0.9831130504608154,0.9538668990135192,111.375,98.074,137.452,125.676,136.309,26.282,106.88,113.485,-163.013,-145.776,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,11,super_af2_mu2
3.143,2.63,2.823,2.771,2.359,112.771,85.532,104.262,134.402,-68.49,-63.828,-169.075,-162.552,0.078,1.478,0.203,0.9,0.58,0.69,0.41,0.08,0.96,True,True,True,True,True,0.7856881022453308,0.9811881184577942,0.4226334989070892,0.415463775396347,0.8141092658042908,0.9820348024368286,0.9541630744934082,112.042,97.808,136.9,127.338,139.188,13.415,109.059,113.936,-165.445,-148.847,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,12,super_af2_mu2
3.097,2.642,2.827,2.741,2.443,111.29,84.841,105.131,134.424,-68.499,-63.828,-170.325,-164.958,0.154,1.472,0.27,0.88,0.63,0.78,0.41,0.08,0.99,True,True,True,True,True,0.8728355765342712,0.9759714007377625,0.4744331538677215,0.4678219258785248,0.8155315518379211,0.9802956581115724,0.9533112049102784,110.297,99.198,135.837,125.003,134.404,24.825,104.203,123.104,-164.326,-141.991,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,13,super_af2_mu2
3.053,2.639,2.812,2.731,2.442,111.518,86.622,104.758,135.561,-68.087,-63.828,-170.16,-166.187,0.133,1.476,0.232,0.84,0.58,0.69,0.42,0.08,0.98,True,True,True,True,True,1.023005723953247,0.9697185158729552,0.5823961496353149,0.5757138729095459,0.8388592600822449,0.9779651761054992,0.9520130753517152,110.555,98.796,136.603,125.522,135.039,27.384,108.342,113.599,-164.864,-147.347,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,14,super_af2_mu2
3.089,2.661,2.843,2.793,2.403,109.717,87.279,102.814,137.853,-68.84,-63.828,-170.2,-164.105,0.123,1.486,0.176,0.87,0.6,0.73,0.41,0.08,1.01,True,True,True,True,True,0.8620391488075256,0.9783939719200134,0.5290343761444092,0.5205701589584351,0.7987101674079895,0.9815825819969176,0.9555130004882812,111.031,98.066,135.565,126.271,136.257,9.019,106.61,114.584,-164.573,-145.723,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,15,super_af2_mu2
3.148,2.657,2.892,2.734,2.42,111.795,88.965,105.048,134.572,-68.924,-63.828,-169.044,-163.214,0.131,1.466,0.278,0.83,0.69,0.87,0.4,0.08,0.94,True,True,True,True,True,0.9093007445335388,0.9753350019454956,0.5031988620758057,0.4968286156654358,0.809975266456604,0.9802609086036682,0.955540418624878,112.58,96.072,139.577,125.781,137.002,19.844,103.508,119.401,-164.445,-143.783,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,16,super_af2_mu2
3.176,2.625,2.843,2.799,2.395,109.843,82.488,105.482,134.905,-69.407,-63.828,-170.887,-165.386,0.207,1.473,0.223,0.9,0.62,0.79,0.4,0.08,0.96,True,True,True,True,True,0.8597239255905151,0.976782500743866,0.4793810546398163,0.471269816160202,0.808781087398529,0.9818260669708252,0.9534155130386353,110.486,100.244,134.444,125.911,136.378,24.004,105.256,118.084,-165.224,-143.649,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,17,super_af2_mu2
3.091,2.666,2.81,2.819,2.352,109.941,86.288,101.529,138.932,-68.928,-63.828,-171.579,-162.01,0.174,1.496,0.14,0.87,0.56,0.67,0.45,0.08,0.98,True,True,True,True,True,0.9494959115982056,0.9731454253196716,0.5498487949371338,0.5373130440711975,0.8107476234436035,0.9806087017059326,0.9552018642425536,111.362,98.886,134.116,127.487,138.266,5.525,108.847,112.919,-161.662,-146.815,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,18,super_af2_mu2
3.16,2.716,2.868,2.74,2.427,109.928,85.395,102.725,135.693,-69.531,-63.828,-170.696,-159.501,0.18,1.491,0.197,0.96,0.63,0.79,0.42,0.08,0.99,True,True,True,True,True,0.9621652364730836,0.9735079407691956,0.5949674844741821,0.5837348103523254,0.8243608474731445,0.9798782467842102,0.9532936811447144,112.002,98.816,134.467,126.56,136.847,29.914,106.422,113.285,-161.551,-146.113,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,19,super_af2_mu2
3.074,2.64,2.825,2.832,2.338,109.852,87.604,102.994,137.966,-68.626,-63.828,-170.273,-164.86,0.103,1.482,0.269,0.81,0.64,0.79,0.41,0.08,1.04,True,True,True,True,True,0.8767602443695068,0.9795277714729308,0.4642190933227539,0.4579146206378937,0.8096397519111633,0.9807478189468384,0.9536527395248412,110.694,97.86,136.969,127.16,138.219,8.915,104.244,116.838,-162.922,-142.882,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,20,super_af2_mu2
3.084,2.649,2.91,2.76,2.327,110.231,87.465,103.8,137.704,-68.579,-63.828,-171.085,-163.724,0.133,1.469,0.214,0.94,0.69,0.87,0.42,0.08,1.01,True,True,True,True,True,0.8742146492004395,0.9762465357780457,0.4581207931041717,0.4544993638992309,0.8229897618293762,0.980573832988739,0.9539136290550232,110.905,98.942,135.928,126.733,137.783,26.632,103.523,118.28,-163.055,-143.541,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,21,super_af2_mu2
3.106,2.666,2.91,2.796,2.394,111.451,88.049,104.142,138.243,-69.432,-63.828,-171.414,-165.827,0.121,1.471,0.211,0.84,0.66,0.83,0.42,0.08,1.01,True,True,True,True,True,0.8271430134773254,0.979705810546875,0.4533989429473877,0.4472015500068664,0.8192188143730164,0.9779651761054992,0.9548069834709167,110.829,98.954,137.122,126.838,137.84,19.2,102.588,118.557,-163.79,-143.92,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,22,super_af2_mu2
