label,model_idx,fape,lddt,rmsd,kabsch,prmsd,plddt,plddt_pde
super_af2_mu2,1,0.8756049275398254,0.9794342517852783,0.4526709020137787,0.4422222971916199,0.8151745200157166,0.980573832988739,0.9537366032600403
super_af2_mu2,2,0.9992157816886902,0.9723736643791199,0.5631285905838013,0.5518016815185547,0.802965521812439,0.9837390780448914,0.9547586441040039
super_af2_mu2,3,0.79329913854599,0.9816325902938843,0.4239784777164459,0.41878944635391235,0.8018311262130737,0.981095552444458,0.9549744725227356
super_af2_mu2,4,0.9305634498596191,0.9749278426170349,0.5083508491516113,0.5053738355636597,0.8122285008430481,0.9832173585891724,0.9536876678466797
super_af2_mu2,5,0.9133773446083069,0.9727201461791992,0.49806368350982666,0.4937730133533478,0.8183039426803589,0.9826956391334534,0.9530566930770874
super_af2_mu2,6,0.8312103152275085,0.9778544306755066,0.4713570773601532,0.4630953073501587,0.806158185005188,0.981999933719635,0.9555661678314209
super_af2_mu2,7,0.9580299258232117,0.9686327576637268,0.5740360021591187,0.5671691298484802,0.8225240111351013,0.9820694923400879,0.9526588320732117
super_af2_mu2,8,0.9939682483673096,0.972393274307251,0.5066714882850647,0.5022569894790649,0.8238714933395386,0.9792174100875854,0.9539090991020203
super_af2_mu2,9,0.8624730110168457,0.9773281216621399,0.46762990951538086,0.45980820059776306,0.8035492897033691,0.9817217588424683,0.9550867080688477
super_af2_mu2,10,0.9223787784576416,0.9742975831031799,0.5144362449645996,0.5077702403068542,0.8049010038375854,0.9809913635253906,0.9547237157821655
super_af2_mu2,11,0.7993409633636475,0.9802156090736389,0.41877156496047974,0.4161915183067322,0.8145501613616943,0.9806783199310303,0.9543901681900024
super_af2_mu2,12,0.8067372441291809,0.9803443551063538,0.43489181995391846,0.42919155955314636,0.8005448579788208,0.9831130504608154,0.9538668990135193
super_af2_mu2,13,0.7856881022453308,0.9811881184577942,0.42263349890708923,0.41546377539634705,0.8141092658042908,0.9820348024368286,0.9541630744934082
super_af2_mu2,14,0.8728355765342712,0.9759714007377625,0.47443315386772156,0.4678219258785248,0.8155315518379211,0.9802956581115723,0.9533112049102783
super_af2_mu2,15,1.023005723953247,0.9697185158729553,0.5823961496353149,0.5757138729095459,0.8388592600822449,0.9779651761054993,0.9520130753517151
super_af2_mu2,16,0.8620391488075256,0.9783939719200134,0.5290343761444092,0.5205701589584351,0.7987101674079895,0.9815825819969177,0.9555130004882812
super_af2_mu2,17,0.9093007445335388,0.9753350019454956,0.5031988620758057,0.4968286156654358,0.809975266456604,0.9802609086036682,0.9555404186248779
super_af2_mu2,18,0.8597239255905151,0.976782500743866,0.4793810546398163,0.471269816160202,0.808781087398529,0.9818260669708252,0.9534155130386353
super_af2_mu2,19,0.9494959115982056,0.9731454253196716,0.5498487949371338,0.5373130440711975,0.8107476234436035,0.9806087017059326,0.9552018642425537
