label,model_idx,fape,lddt,rmsd,kabsch,prmsd,plddt,plddt_pde
super_af2_bu2,1,0.970935583114624,0.9611477851867676,0.6214423179626465,0.616487979888916,0.8173320293426514,0.9824267029762268,0.9492874145507812
super_af2_bu2,2,1.071951150894165,0.9580750465393066,0.6811383366584778,0.6762865781784058,0.8486758470535278,0.9754043817520142,0.9436486959457397
super_af2_bu2,3,1.250077724456787,0.9457017779350281,0.8451858758926392,0.8337001204490662,0.8232036828994751,0.9806023836135864,0.9449803829193115
super_af2_bu2,4,1.102280855178833,0.9566655158996582,0.6871733069419861,0.6825051307678223,0.8891398310661316,0.9707573056221008,0.9398165941238403
super_af2_bu2,5,1.0594897270202637,0.9588273167610168,0.6631205677986145,0.6543800234794617,0.8440788388252258,0.9776075482368469,0.944581151008606
super_af2_bu2,6,1.023595929145813,0.9609208106994629,0.6826193332672119,0.6800668835639954,0.8618532419204712,0.9741652011871338,0.9445928931236267
super_af2_bu2,7,1.1187130212783813,0.9526646733283997,0.6921887397766113,0.6878750324249268,0.8253948092460632,0.9792942404747009,0.9494462013244629
super_af2_bu2,8,1.0377975702285767,0.9602225422859192,0.7028245329856873,0.7001312971115112,0.8671712875366211,0.9723406434059143,0.9441896677017212
super_af2_bu2,9,1.0719056129455566,0.956064760684967,0.7251933813095093,0.7223269939422607,0.8552727699279785,0.973786473274231,0.9461266994476318
super_af2_bu2,10,1.0425121784210205,0.9572707414627075,0.722344696521759,0.7169467210769653,0.843488872051239,0.9759895205497742,0.9490060806274414
super_af2_bu2,11,0.9034832119941711,0.9614607691764832,0.6647495031356812,0.6623485684394836,0.8472642302513123,0.9789500832557678,0.9490763545036316
super_af2_bu2,12,1.0006625652313232,0.9594574570655823,0.7138122320175171,0.7069557309150696,0.8959387540817261,0.9695868492126465,0.941540002822876
super_af2_bu2,13,1.0328251123428345,0.9607416987419128,0.6366646885871887,0.6300157904624939,0.8678441643714905,0.9737176895141602,0.9394504427909851
super_af2_bu2,14,0.9821300506591797,0.9591701030731201,0.7045512795448303,0.6976501941680908,0.8587967157363892,0.9750946164131165,0.9452383518218994
super_af2_bu2,15,1.0732039213180542,0.9584813714027405,0.7000327110290527,0.6956728100776672,0.8434048295021057,0.9793975353240967,0.9467395544052124
super_af2_bu2,16,1.0536582469940186,0.9567295908927917,0.6391842365264893,0.6363530158996582,0.8296869397163391,0.9785369634628296,0.9492077827453613
super_af2_bu2,17,1.0761908292770386,0.9534974098205566,0.6665641069412231,0.6627800464630127,0.8783202767372131,0.9751635193824768,0.9352241158485413
super_af2_bu2,18,0.9830527901649475,0.9568792581558228,0.6506398320198059,0.6457034945487976,0.8151024580001831,0.9816350340843201,0.9498568177223206
super_af2_bu2,19,0.9884054064750671,0.959657609462738,0.6767262816429138,0.6724249720573425,0.8523297309875488,0.9754732847213745,0.9462316632270813
